Level 00: LevelDrift; 0-6 players; DeathMatch
Level 01: LevelEnclosed; 0-4 players; DeathMatch
Level 02: LevelMiniIsland; 0-4 players; DeathMatch
Level 03: LevelFalling2; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 04: LevelIsland; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 05: LevelMaze; 0-6 players; DeathMatch,GoldenDisc
Level 06: LevelMoving; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 07: LevelPlants; 0-4 players; DeathMatch
Level 08: LevelSquare; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 09: LevelRooms; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 10: LevelSpin; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 11: LevelTeleportals; 0-6 players; DeathMatch
Level 12: LevelTracks; 0-6 players; DeathMatch,HideAndSeek
Level 13: LevelTutorial; 0-6 players; DeathMatch
Level 14: LevelSplit; 0-6 players; DeathMatch,HideAndSeek
Level 15: LevelFalling; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 16: LevelWheel; 0-4 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 17: LevelClouds; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 18: LevelSlideTraps; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 19: LevelPools; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 20: LevelMarketplace; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill,HideAndSeek
Level 21: LevelTemple; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 22: LevelTempleGarden; 0-4 players; DeathMatch
Level 23: LevelTurnstile; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 24: LevelToaster; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 25: LevelWasher; 0-6 players; DeathMatch,HideAndSeek
Level 26: LevelForest; 0-6 players; DeathMatch
Level 27: LevelPier; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 28: LevelOnsen; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 29: LevelCloudSweep; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 30: LevelWhisk; 0-6 players; DeathMatch
Level 31: LevelBambooGrove; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 32: LevelBridges; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 33: LevelHenge; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 34: LevelMist; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 35: LevelRing; 2-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 36: LevelPinball; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 37: LevelTurnTeleportals; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 38: LevelTrap; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 39: LevelPincer; 0-6 players; DeathMatch,KingOfTheHill
Level 40: LevelShrine; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 41: LevelRivercrossing; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 42: LevelMaze2; 0-6 players; DeathMatch,GoldenDisc
Level 43: LevelRaftCrusher; 0-6 players; DeathMatch,HideAndSeek
Level 44: LevelRaftSwitches; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 45: LevelRaftPair; 0-6 players; DeathMatch,GoldenDisc,KingOfTheHill
Level 46: LevelBigRaft; 0-6 players; DeathMatch
Level 47: LevelIslandPair; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 48: LevelCrate; 0-6 players; DeathMatch,HideAndSeek
Level 49: LevelTrapMaze2; 0-6 players; DeathMatch,KingOfTheHill
Level 50: LevelCourtyard; 0-6 players; DeathMatch
Level 51: LevelFourCogs; 0-6 players; DeathMatch,GoldenDisc
Level 52: LevelDonut; 0-6 players; DeathMatch,GoldenDisc
Level 53: LevelTrapIslands; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 54: LevelRaftSwitches2; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 55: LevelCircleMaze; 0-6 players; DeathMatch,GoldenDisc,HideAndSeek
Level 56: LevelRollerSweep; 0-6 players; DeathMatch
Level 57: LevelJungleRuins; 0-6 players; DeathMatch,GoldenDisc
